WS_001_FLOW_MEAN,WS_001_FLOW_MIN,WS_001_FLOW_MAX,WS_001_CONC_MEAN,WS_001_CONC_MIN,WS_001_CONC_MAX,DMW_FLOW_MEAN,DMW_FLOW_MIN,DMW_FLOW_MAX,ALK_FLOW_MEAN,ALK_FLOW_MIN,ALK_FLOW_MAX,WS_002_FLOW_MEAN,WS_002_FLOW_MIN,WS_002_FLOW_MAX,WS_002_CONC_MEAN,WS_002_CONC_MIN,WS_002_CONC_MAX,RPM_MEAN,RPM_MIN,RPM_MAX,PLANT_A,BAD_YIELD
87.314226,87.462261,87.280037,59.999370,59.921000,60.064100,92.311498,92.315439,92.300842,87.957784,88.105276,87.929657,87.920632,88.091202,87.872840,22.006944,22.000000,23.000000,5010.232292,5009.780000,5010.610000,1,0
91.511360,91.591823,91.488572,30.000039,29.939600,30.080600,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.484449,91.538192,91.452931,53.000000,53.000000,53.000000,5009.097500,5008.370000,5009.700000,0,0
87.090655,87.290196,87.017004,65.000624,64.782700,65.181800,92.930550,92.934958,92.918340,86.453545,86.638420,86.425383,86.496236,86.684642,86.467620,10.986111,10.000000,11.000000,5010.627639,5010.330000,5010.940000,1,1
91.522966,91.591823,91.488572,30.000997,29.948000,30.075800,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.483237,91.548648,91.451933,51.409722,51.000000,52.000000,5010.071181,5009.580000,5010.430000,0,0
91.591991,91.677855,91.488572,30.000419,29.965500,30.041800,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.483448,91.551932,91.456541,53.027778,52.000000,54.000000,4999.529444,4995.950000,5002.700000,0,0
87.204273,87.376229,87.104682,63.000076,62.848700,63.215200,92.682929,92.687150,92.671340,87.957784,88.105276,87.929657,87.919817,88.075551,87.886043,21.013889,21.000000,22.000000,5011.464514,5011.160000,5011.610000,1,0
91.593824,91.677855,91.488572,29.998601,29.946800,30.049600,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.486020,91.554708,91.466851,52.833333,52.000000,53.000000,5010.030417,5009.620000,5010.270000,0,0
91.617036,91.763888,91.576250,29.999353,29.959000,30.053800,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.482847,91.552025,91.442383,53.006944,53.000000,54.000000,5007.809236,5003.320000,5009.850000,0,0
87.231150,87.376229,87.192360,64.999785,64.858800,65.113900,92.930550,92.934958,92.918340,87.957784,88.105276,87.929657,87.922887,88.059932,87.907647,19.000000,19.000000,19.000000,5009.342639,5009.080000,5009.710000,0,0
90.601197,90.731497,90.524116,29.451389,29.000000,30.000000,88.597187,88.598325,88.595852,90.464848,90.550036,90.436780,90.293949,90.384535,90.273081,46.722222,46.000000,48.000000,5008.897917,5006.050000,5010.180000,1,0
87.074773,87.290196,87.017004,65.000676,64.877600,65.135100,92.930550,92.934958,92.918340,86.453545,86.638420,86.425383,86.494567,86.675907,86.468893,10.548611,10.000000,11.000000,5009.781806,5005.570000,5010.510000,1,1
